YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR
2001,2,15,30.22,25.54,27.45,3.81
2001,2,16,30.11,24.99,27.11,3.53
2001,2,17,30.03,24.68,27.04,0.02
2001,2,18,31.01,24.57,27.28,0.23
2001,2,19,30.77,25.16,27.43,0.01
2001,2,20,30.4,23.95,27.08,0.01
2001,2,21,30.58,24.69,27.27,0.15
2001,2,22,29.88,25.08,26.96,0.21
2001,2,23,29.18,24.61,26.41,0.02
2001,2,24,29.71,24.67,26.69,0.03
2001,2,25,29.9,24.09,26.82,0.07
2001,2,26,30.48,25.35,27.32,0.43
2001,2,27,30.56,25.48,27.6,0.13
2001,2,28,30.06,24.71,27.18,0.55
2001,3,1,29.05,24.25,26.45,0.29
2001,3,2,29.08,23.69,26.22,0.49
2001,3,3,29.48,24.1,26.54,0.06
2001,3,4,29.88,24.35,26.93,0.34
2001,3,5,30.83,24.35,27.19,0.55
2001,3,6,30.41,23.2,26.4,6.07
2001,3,7,30.73,25.04,27.39,1.74
2001,3,8,31.15,24.44,27.45,0.02
2001,3,9,31.23,25.51,27.88,0
2001,3,10,29.23,25.43,27.17,0.22
2001,3,11,29.69,23.91,26.76,0.18
2001,3,12,30.96,23.76,27.3,0
2001,3,13,30.69,23.72,27.03,0
2001,3,14,29.56,24.34,26.75,0
2001,3,15,30.23,24.56,27.11,0.02
2001,3,16,30.02,24.69,27.07,0.78
2001,3,17,28.83,24.72,26.54,5.05
2001,3,18,30.27,25.06,27.39,0.11
2001,3,19,30.6,24.51,27.4,0.28
2001,3,20,31.3,24.51,27.69,0.38
2001,3,21,30.76,24.38,27.29,0.13
2001,3,22,31.24,25.11,27.56,1.01
2001,3,23,31.14,25.65,27.82,1.14
2001,3,24,30.75,25.88,27.83,0.05
2001,3,25,30.88,25.49,27.67,1.53
2001,3,26,30.75,26.14,27.82,0.88
2001,3,27,30.65,26.2,27.83,0.85
2001,3,28,30.04,25.99,27.68,1.04
